Country,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Bermuda,Bolivia,Brazil,Brunei Darussalam,Bulgaria,Canada,Chile,China,Chinese Taipei,Colombia,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt (Arab Rep.),El Salvador,Equatorial Guinea,Estonia,Eswatini,Finland,France,Gabon,Gambia,Georgia,Germany,Greece,Grenada,Guatemala,Guyana,Haiti,Honduras,Hong Kong China,Hungary,Iceland,India,Indonesia,Iran (Islamic Rep.),Iraq,Ireland,Italy,Jamaica,Japan,Kazakhstan,Korea,Kuwait,Latvia,Libya,Lithuania,Luxembourg,North Macedonia,Malaysia,Malta,Mauritius,Mexico,Moldova,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sudan,Suriname,Sweden,Switzerland,Syria (Arab Rep.),Tajikistan,Thailand,Trinidad/Tobago,Tunisia,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Venezuela,Vietnam,Yemen
Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-02,0,6,0,0,0,425.3203,178.5484,0,0,0,0,0,689.2139,0,0,0,404.7742,0,0,925.3245,175.8774,1206.6194,826.7928,11.6452,19.3226,0,0,0,142.1074,49.5306,59.3548,0,0,14.5806,0,0,0,246.3006,1586.3329,0,0,0,2057.7239,339.2855,0,0,0,0,0,0,91.0339,0,1732.4255,0,0,0,80.3568,1697.7858,21.7419,3718.2839,29.2,2183.6597,0,0,0,0,0,0,146.8965,0,0,0,0,0,0,0,866.3568,72.9887,12.9677,0,0,8.2148,0,0,0,2.2258,36.1613,268.5806,412.8445,287.6677,0,0,0,0,841.2355,113.9697,0,263.3294,1180.0394,0,0,311.2042,84.8739,0,0,656.9905,92.9677,0,468.5032,0,0,760.5671,9531.6129,0,0,0,0
Nov-02,0,7,0,0,0,394.0493,173,0,0,0,0,0,720.2947,0,0,0,403.2333,0,0,827.1713,180.808,1788.52,683.0928,0,10.1,0,0,0,119.7233,46.1883,33.3,0,0,24.8667,0,0,0,160.9117,1485.0373,0,0,0,2244.748,515.235,0,0,0,0,0,0,92.8467,0,1437.3957,335,0,0,78.3677,1640.2987,23.3,4165.2783,100.9833,2127.4733,0,0,0,0,0,0,103.3671,0,0,0,0,0,0,0,916.2767,108.147,13,0,0,24.4673,0,0,0,1.4667,70.2667,297.3667,412.679,222.3283,0,0,0,0,937.5912,124.8543,0,560.9897,1263.114,0,0,435.567,101.2147,0,0,752.2639,88,0,476.035,0,0,951.2967,9654.1,0,0,0,0
Dec-02,0,6,0,0,0,465.7365,163.5484,0,0,0,0,0,722.0223,0,0,0,422.2258,0,0,872.4555,177.9068,1225.5097,862.6937,0,0,0,0,19.7806,145.8906,45.6648,35,0,0,1.8387,0,0,0,183.299,1699.1955,0,0,0,2195.2594,384.0968,0,0,0,0,0,0,76.8468,0,1557.4474,336,0,0,57.2958,1685.2026,23.0645,4805.4777,73.9419,2161.7874,0,0,0,0,0,0,195.8086,0,0,0,0,0,0,0,992.3206,89.3184,12.7742,0,0,22.7116,0,0,0,1.7097,71.871,206.871,396.5294,173.0761,0,0,0,0,815.0899,117.7529,0,271.0339,1079.1552,0,0,407.2519,102.7045,0,0,738.579,82.9355,0,447.8758,0,0,984.5781,8741.0645,0,0,0,0
Jan-03,0,18,0.7171,0.2258,0,515.1868,133.3065,0,0,0,0,0,721.309,0,0,0,320.4516,0,73.0635,875.2503,207.4452,1974.0387,799.8454,0,1.0645,0,0,8.2419,130.2848,44.6984,28.6774,0,0,19.129,0,0,0,194.2352,1753.3406,0,0,0,2135.1781,333.8323,0,0,0,0,0,0,146.1271,0,1615.4565,270,18,0,57.2958,1761.1768,0,4583.4268,79.1226,2290.8813,0,0,0,132.1065,0,0,109.5667,0,0,0,0,0,0,0,880.3265,95.9987,24.8065,0,0,38.1748,0,0,0,0,73.9677,302.6129,350.6577,214.4432,0,135.5742,0,0,433.8178,119.6445,0,271.8594,1055.8742,0,0,376.1077,98.4252,0,0,858.2159,106.6774,0,524.9323,0,0,816.9955,8633,32.7742,0,0,0
Feb-03,0,10,1.8525,0,0,311.6457,156.9643,0,0,0,0,0,734.6311,0,0,0,386.1429,0,87.96,835.1993,207.7029,1720.2,980.5384,0,11.1429,0,0,29.9821,123.5629,73.295,42.5714,0,0,31.1429,0,0,0,280.8496,1582.0529,0,0,0,2242.6643,431.025,0,0,0,0,0,0,86.3893,0,1674.0429,345,22,0,63.9611,1439.6686,0,4903.6821,0,2377.3514,0,0,0,146.7821,0,0,163.3097,0,0,0,0,0,0,0,904.3929,120.5286,17.2143,0,0,10.9675,0,0,0,3.1786,100.9643,310,332.2061,341.9154,0,173.9552,0,0,692.3475,108.3793,0,287.8875,1045.3339,0,0,544.0639,98.9686,0,0,711.645,72.9286,0,443.3625,0,0,1035.6729,8474.2143,5.8214,0,0,0
Mar-03,0,6,0.7171,0,0,471.68,159.6774,0,0,0,0,0,815.9303,0,0,0,305.9677,0,117.9894,1025.0071,203.6119,1719.0194,613.9566,25.5806,9.7097,0,0,19.3097,107.1126,65.9603,17.7419,0,0,24.3548,0,0,0,212.0658,1721.8161,0,0,0,2291.0516,483.9145,0,0,0,0,0,0,87.4871,0,1675.3674,528,19,0,78.4548,1970.8181,0,4472.1635,113.2677,2295.3984,0,0,0,132.5774,0,0,116.8708,0,0,0,0,0,0,0,984.9806,95.7513,12.3548,0,0,18.3626,0,0,0,1.5806,86.3871,230.3548,317.5545,243.9232,0,157.1208,0,0,427.518,112.551,0,364.3135,1215.5487,0,0,467.6384,106.0329,0,0,721.1174,112.2903,0,480.8323,0,0,1108.8665,9225.6129,0,0,0,0
Apr-03,0,0,1.235,13,0,468.2407,157.5,0,0,0,0,0,824.9487,0,0,0,418.5333,0,111.416,753.2867,192.225,1925.16,821.2683,0,10.0333,0,0,19.9533,113.1263,72.653,31.5333,0,0,19.8667,0,0,0,203.9033,1597.932,0,0,0,2212.0853,466.235,0,0,0,0,0,0,103.8417,0,1752.3403,176,54,0,78.122,1719.0507,0,4418.5607,46.2333,2225.9857,0,0,0,4.6233,0,0,193.9477,0,0,0,0,0,0,0,1103.4467,82.5803,18.9667,0,0,4.2443,0,0,0,1.6,105.7667,285.8333,344.2657,240.262,0,116.8278,0,0,703.3842,114.1037,0,468.8657,1147.203,0,0,369.237,89.4227,0,0,728.131,89.0667,0,456.68,0,0,800.4967,9927.8333,35.6,0,0,0
May-03,0,10,0,15.8065,0,337.8313,156.2903,0,0,0,0,0,744.6077,0,0,0,197.3548,0,131.4671,816.5587,189.6319,1426.2194,1045.6815,0,9.5161,0,0,31.0839,117.9894,91.3297,36.3226,0,0,18.4194,0,0,0,207.0732,1746.6026,0,0,0,2185.849,328.6161,0,0,0,0,0,0,101.6742,0,2016.0516,228,39,0,59.4355,1548.449,0,3957.9277,77.7097,2031.9803,0,0,0,125.0419,0,0,197.2275,0,0,0,0,0,0,0,887.6665,122.4726,6.0323,0,0,3.8658,0,0,0,2.3226,72.6774,249.5806,320.8648,268.4106,0,37.7671,0,0,353.4283,89.6152,0,225.0819,1173.69,0,0,258.1877,47.3106,0,0,862.4622,78.4194,0,457.1226,0,0,1015.2245,10153.1613,32.5806,0,0,0
Jun-03,0,6,0,13.5,0,426.4773,187.25,0,0,0,0,0,723.734,0,0,0,314.1,0,86.9827,890.948,192.691,1869.04,800.1041,0,0,0,0,10.4633,106.0407,83.888,32.0333,0,0,17.8333,0,0,0,240.0163,1481.8047,0,0,0,1972.476,408.17,0,0,0,0,0,0,102.62,0,1771.2567,339,81,0,59.2057,1587.3067,0,4145.625,60.8333,2257.1853,0,0,0,131.6433,0,0,173.595,0,0,0,0,0,0,0,1134.5193,92.2957,20.8333,0,0,0,0,0,0,0.4667,70.9,275.6,350.6183,250.58,0,63.042,0,0,711.398,111.416,0,369.9177,1230.552,0,0,399.6997,110.0587,0,0,715.553,63.1333,0,459.62,0,0,1074.7013,10038.3667,24.7667,0,0,0
Jul-03,0,11,0,0.1613,0,304.0719,150.9677,0,0,0,0,0,752.691,0,0,0,280.2581,0,102.1471,966.0826,203.161,1612.7613,1008.5365,0,8.4516,0,0,30.8484,129.8119,92.0545,30.9677,0,0,19.1613,0,0,0,190.669,1841.1761,0,0,0,2013.5677,257.25,0,0,0,0,0,0,126.2652,0,1629.2455,0,51,0,75.6019,1746.9316,0,3893.0242,30.6129,2210.2868,0,0,0,151.6516,0,0,157.0467,0,0,0,0,0,0,0,1015.9981,112.5758,18.2903,0,0,9.9061,0,0,0,0,105.5161,273,337.6529,287.43,0,97.3229,0,0,447.7895,113.4968,0,313.6839,1129.2445,0,0,396.5535,95.0968,0,0,888.6475,80.8387,0,517.8194,0,0,1072.3826,10034.2258,33.0968,0,0,0
